"FacultyI","FacultyJ","XDIndicator"
"7K34d7cAAAAJ","DqXsbPAAAAAJ",1
"7K34d7cAAAAJ","ZxXBaswAAAAJ",1
"7lVfIWYAAAAJ","bsoRFLAAAAAJ",1
"7PeekG0AAAAJ","xlfT8vcAAAAJ",0
"7PeekG0AAAAJ","xlfT8vcAAAAJ",0
"7X0YfAcAAAAJ","__z1kpoAAAAJ",0
"7X0YfAcAAAAJ","__z1kpoAAAAJ",0
"7XjL07wAAAAJ","7BM1uyYAAAAJ",1
"7XjL07wAAAAJ","wCfYkMkAAAAJ",1
"7XjL07wAAAAJ","KWiJaj8AAAAJ",1
"81cvn3sAAAAJ","nKR2tGvMLFMC",1
"84WzBlYAAAAJ","-PWcE1YAAAAJ",1
"84WzBlYAAAAJ","67kghxAAAAAJ",1
"84WzBlYAAAAJ","67kghxAAAAAJ",1
"8GA4R2wAAAAJ","j7F7yq0AAAAJ",1
"8GA4R2wAAAAJ","G7D5O-0AAAAJ",1
"8GA4R2wAAAAJ","G7D5O-0AAAAJ",1
"8GA4R2wAAAAJ","yvvjnhIAAAAJ",1
"8iofTEAAAAAJ","GTGud6oAAAAJ",0
"8iQk0DIAAAAJ","Jj00ksMAAAAJ",1
"8iQk0DIAAAAJ","Jj00ksMAAAAJ",1
"8iQk0DIAAAAJ","qnwjcfAAAAAJ",1
"8iQk0DIAAAAJ","qnwjcfAAAAAJ",1
"8iQk0DIAAAAJ","Jj00ksMAAAAJ",1
"8iQk0DIAAAAJ","qnwjcfAAAAAJ",1
"8iQk0DIAAAAJ","Jj00ksMAAAAJ",1
"8mi-oYYAAAAJ","TOmDIqIAAAAJ",1
"8Qu_gAMAAAAJ","HKGYvu4AAAAJ",1
"8VkvOEEAAAAJ","C1skWKgAAAAJ",1
"8VkvOEEAAAAJ","C1skWKgAAAAJ",1
"8VkvOEEAAAAJ","C1skWKgAAAAJ",1
"8VkvOEEAAAAJ","nFdbcvsAAAAJ",1
"8VkvOEEAAAAJ","C1skWKgAAAAJ",1
"910z20QAAAAJ","hHKC6FEAAAAJ",1
"910z20QAAAAJ","hHKC6FEAAAAJ",1
"93yNuV0AAAAJ","4Tnj6PcAAAAJ",1
"93yNuV0AAAAJ","Wj4ZBFIAAAAJ",1
"95xNBicAAAAJ","35uGc_MAAAAJ",0
"9AAcxvIAAAAJ","lRTRxSIAAAAJ",0
"9DCRnPkAAAAJ","6Ff2c8wAAAAJ",1
"9DCRnPkAAAAJ","ZnT-QpMAAAAJ",1
"9EJnQ4IAAAAJ","MOaFLkMAAAAJ",0
"9gBvN78AAAAJ","oAaMfQsAAAAJ",1
"9H5I3iIAAAAJ","R5nkatMAAAAJ",0
"9H5I3iIAAAAJ","R5nkatMAAAAJ",0
"9H5I3iIAAAAJ","R5nkatMAAAAJ",0
"9MSpWOUAAAAJ","BghVDhgAAAAJ",1
"9MSpWOUAAAAJ","a959F6AAAAAJ",1
"9MSpWOUAAAAJ","BghVDhgAAAAJ",1
"9MSpWOUAAAAJ","rWl0U0oAAAAJ",1
"9qSwlokAAAAJ","xPGhKkoAAAAJ",0
"9s9o-JcAAAAJ","Wj4ZBFIAAAAJ",1
"9s9o-JcAAAAJ","NhY4TT4AAAAJ",1
"9s9o-JcAAAAJ","Z6EHuGcAAAAJ",1
"9s9o-JcAAAAJ","_JhgbioAAAAJ",1
"9Xv52PkAAAAJ","GNEppUEAAAAJ",0
"9Yd716IAAAAJ","Avus2kcAAAAJ",1
"9yLaBrYAAAAJ","7AUq6CUAAAAJ",0
"9Yuk3WgAAAAJ","rynvwScAAAAJ",1
"9ZGqm5QAAAAJ","_JhgbioAAAAJ",1
"9ZGqm5QAAAAJ","yi9qu1cAAAAJ",1
"9ZGqm5QAAAAJ","VX7d5EQAAAAJ",1
"9ZGqm5QAAAAJ","pZhZndYAAAAJ",1
"a1ngrCIAAAAJ","uFJi3IUAAAAJ",1
"A1NhsZgAAAAJ","_WxLkC8AAAAJ",0
"A2fiOI0AAAAJ","I1fl4oAAAAAJ",1
"A2fiOI0AAAAJ","I1fl4oAAAAAJ",1
"A2fiOI0AAAAJ","I1fl4oAAAAAJ",1
"A2fiOI0AAAAJ","I1fl4oAAAAAJ",1
"A2fiOI0AAAAJ","9ZM8OlMAAAAJ",1
"A4ZY-yQAAAAJ","dWVyVm4AAAAJ",0
"a6u7NTgAAAAJ","qAKfQW0AAAAJ",1
"a6u7NTgAAAAJ","qAKfQW0AAAAJ",1
"a7VNhCIAAAAJ","e8e5qGcAAAAJ",1
"a7VNhCIAAAAJ","e8e5qGcAAAAJ",1
"a959F6AAAAAJ","9MSpWOUAAAAJ",1
"a959F6AAAAAJ","9MSpWOUAAAAJ",1
"AdAd4QIAAAAJ","9ZGqm5QAAAAJ",1
"AdAd4QIAAAAJ","9ZGqm5QAAAAJ",1
"AeEgcugAAAAJ","orHlhhQAAAAJ",1
"AeEgcugAAAAJ","orHlhhQAAAAJ",1
"AeEgcugAAAAJ","orHlhhQAAAAJ",1
"AHh8JssAAAAJ","f0NoTC0AAAAJ",1
"Al8dyb4AAAAJ","9oz-dvgAAAAJ",1
"Al8dyb4AAAAJ","FJ-huxgAAAAJ",1
"AmaB9c4AAAAJ","YLCXL-kAAAAJ",1
"AmaB9c4AAAAJ","Dl0vAp8AAAAJ",1
"AmaB9c4AAAAJ","ronge0AAAAAJ",1
"AmaB9c4AAAAJ","YLCXL-kAAAAJ",1
"AmaB9c4AAAAJ","YLCXL-kAAAAJ",1
"AmaB9c4AAAAJ","ronge0AAAAAJ",1
"AMGqrI0AAAAJ","KWez2_sAAAAJ",1
"aN-wgXYAAAAJ","K70yTUsAAAAJ",0
"AN-_Gn8AAAAJ","pEU-dQUAAAAJ",0
"aNFzP50AAAAJ","WANIT2oAAAAJ",0
"aNFzP50AAAAJ","skDE7oIAAAAJ",0
"aNFzP50AAAAJ","skDE7oIAAAAJ",0
"aNRlTa8AAAAJ","mQ_NwUIAAAAJ",1
"aNRlTa8AAAAJ","LgL2HpkAAAAJ",1
"aNRlTa8AAAAJ","mQ_NwUIAAAAJ",1
"aNRlTa8AAAAJ","LgL2HpkAAAAJ",1
"aNRlTa8AAAAJ","mQ_NwUIAAAAJ",1
"AQ6AppgAAAAJ","GRGOG1AAAAAJ",1
"aQCRuYQAAAAJ","qnwjcfAAAAAJ",1
"ArqLh94AAAAJ","kUwCxIUAAAAJ",0
"ArV74ZMAAAAJ","GnU8mlsAAAAJ",1
"ATOfqHEAAAAJ","QH90248AAAAJ",1
"ATOfqHEAAAAJ","oOwNKsAAAAAJ",1
"AxeeT2wAAAAJ","EAzpJiQAAAAJ",0
"AxO6eKcAAAAJ","y0lYi-cAAAAJ",0
"axOnEnQAAAAJ","ct3WjtoAAAAJ",1
"axOnEnQAAAAJ","ct3WjtoAAAAJ",1
"A_j_baAAAAAJ","zdnAkgsAAAAJ",1
"A_j_baAAAAAJ","ronge0AAAAAJ",1
"A_j_baAAAAAJ","zdnAkgsAAAAJ",1
"A_j_baAAAAAJ","ronge0AAAAAJ",1
"a_RuArYAAAAJ","KlJrz9MAAAAJ",0
"a_RuArYAAAAJ","KlJrz9MAAAAJ",0
"a_RuArYAAAAJ","KlJrz9MAAAAJ",0
"b-GJ3QIAAAAJ","DpLFv4gAAAAJ",1
"b-GJ3QIAAAAJ","DpLFv4gAAAAJ",1
"b-GJ3QIAAAAJ","Jj00ksMAAAAJ",1
"b-GJ3QIAAAAJ","DpLFv4gAAAAJ",1
"b0k2tTgAAAAJ","EUMYhUvzt6IC",1
"B46xY4sAAAAJ","T3ToasEAAAAJ",0
"b8foDKcAAAAJ","55pOyCkAAAAJ",0
"b8foDKcAAAAJ","dWVyVm4AAAAJ",0
"B8O_SVkAAAAJ","d1KEK84AAAAJ",1
"B8O_SVkAAAAJ","d1KEK84AAAAJ",1
"bAa___kAAAAJ","DSLquxEAAAAJ",1
"BaI7l8QAAAAJ","LWj8mwwAAAAJ",1
"BaI7l8QAAAAJ","LWj8mwwAAAAJ",1
"BbzYzsgAAAAJ","xdGKgtcAAAAJ",1
"BbzZlWsAAAAJ","n7Z3EDsAAAAJ",1
"BbzZlWsAAAAJ","forPRN8AAAAJ",1
"BbzZlWsAAAAJ","4pWpdEIAAAAJ",1
"BbzZlWsAAAAJ","n7Z3EDsAAAAJ",1
"BbzZlWsAAAAJ","n7Z3EDsAAAAJ",1
"BbzZlWsAAAAJ","forPRN8AAAAJ",1
"BbzZlWsAAAAJ","n7Z3EDsAAAAJ",1
"bcCYp-0AAAAJ","Why1TLIAAAAJ",0
"BEEuinQAAAAJ","ymwKqZsAAAAJ",1
"bgAgsb0AAAAJ","UQ9Ws6wAAAAJ",2
"BghVDhgAAAAJ","a959F6AAAAAJ",1
"BghVDhgAAAAJ","9MSpWOUAAAAJ",1
"BghVDhgAAAAJ","9MSpWOUAAAAJ",1
"bh-uRFMAAAAJ","qBTbnEQAAAAJ",1
"bh-uRFMAAAAJ","YLOz1kgAAAAJ",1
"BhIIVrQAAAAJ","R3gBbQ0AAAAJ",0
"bhO5bMAAAAAJ","slVcOQIAAAAJ",1
"bhO5bMAAAAAJ","MTZaRW4AAAAJ",1
"bhO5bMAAAAAJ","slVcOQIAAAAJ",1
"bhO5bMAAAAAJ","slVcOQIAAAAJ",1
"bhO5bMAAAAAJ","MTZaRW4AAAAJ",1
"bhO5bMAAAAAJ","slVcOQIAAAAJ",1
"bhO5bMAAAAAJ","slVcOQIAAAAJ",1
"BL7eMuQAAAAJ","ko2-elgAAAAJ",0
"BL7eMuQAAAAJ","zXhBB74AAAAJ",0
"blg0nusAAAAJ","4q6YakgAAAAJ",0
"blg0nusAAAAJ","2SXzngsAAAAJ",0
"blg0nusAAAAJ","4q6YakgAAAAJ",0
"blg0nusAAAAJ","4q6YakgAAAAJ",0
"blg0nusAAAAJ","2SXzngsAAAAJ",0
"blg0nusAAAAJ","4q6YakgAAAAJ",0
"blg0nusAAAAJ","4q6YakgAAAAJ",0
"blg0nusAAAAJ","4q6YakgAAAAJ",0
"blg0nusAAAAJ","OOLe2TIAAAAJ",0
"blg0nusAAAAJ","4q6YakgAAAAJ",0
"blg0nusAAAAJ","ujDhg2sAAAAJ",2
"blg0nusAAAAJ","Ff6era8AAAAJ",2
"blg0nusAAAAJ","OMVTRscAAAAJ",2
"blg0nusAAAAJ","PogsVkYAAAAJ",2
"Bn0zSwQAAAAJ","GRGOG1AAAAAJ",1
"bnoxnFwAAAAJ","vsj2slIAAAAJ",1
"BnxU9TEAAAAJ","ElqwScwAAAAJ",1
"BnxU9TEAAAAJ","ElqwScwAAAAJ",1
"BnxU9TEAAAAJ","j7WSgbwAAAAJ",1
