"year","Source","Target","s_dept","t_dept"
2003,598,1498,"CS","CS"
2003,598,1498,"CS","CS"
2003,598,1886,"CS","CS"
2003,1886,1940,"CS","CS"
2003,598,1886,"CS","CS"
2003,598,1940,"CS","CS"
2003,1498,3967,"CS","CS"
2003,598,3967,"CS","CS"
2003,598,1498,"CS","CS"
2003,598,3967,"CS","CS"
2003,599,3663,"CS","CS"
2003,603,2969,"BIO","BIO"
2003,604,3807,"CS","CS"
2003,604,1509,"CS","CS"
2003,604,1509,"CS","CS"
2003,604,2217,"CS","CS"
2003,604,1880,"CS","CS"
2003,614,3977,"CS","CS"
2003,433,614,"CS","CS"
2003,433,1422,"CS","CS"
2003,433,3977,"CS","CS"
2003,614,1422,"CS","CS"
2003,614,3977,"CS","CS"
2003,1422,3977,"CS","CS"
2003,614,3977,"CS","CS"
2003,1693,1747,"CS","CS"
2003,616,1693,"CS","CS"
2003,513,1693,"CS","CS"
2003,616,1747,"CS","CS"
2003,513,1747,"CS","CS"
2003,513,616,"CS","CS"
2003,616,1684,"CS","CS"
2003,627,2366,"BIO","BIO"
2003,187,627,"BIO","BIO"
2003,628,711,"BIO","BIO"
2003,630,2426,"CS","CS"
2003,630,965,"CS","CS"
2003,965,2426,"CS","CS"
2003,630,965,"CS","CS"
2003,630,3207,"CS","CS"
2003,630,965,"CS","CS"
2003,965,3207,"CS","CS"
2003,630,965,"CS","CS"
2003,630,965,"CS","CS"
2003,631,1972,"BIO","BIO"
2003,134,632,"BIO","BIO"
2003,134,691,"BIO","BIO"
2003,632,691,"BIO","BIO"
2003,632,3299,"BIO","BIO"
2003,633,2871,"CS","BIO"
2003,633,2784,"CS","CS"
2003,633,2784,"CS","CS"
2003,2653,2784,"CS","CS"
2003,633,2784,"CS","CS"
2003,633,2653,"CS","CS"
2003,633,2871,"CS","BIO"
2003,638,1672,"CS","CS"
2003,638,1672,"CS","CS"
2003,638,1672,"CS","CS"
2003,638,3245,"CS","CS"
2003,638,1672,"CS","CS"
2003,638,1672,"CS","CS"
2003,639,1968,"CS","CS"
2003,391,641,"CS","CS"
2003,641,1311,"CS","CS"
2003,641,2483,"CS","CS"
2003,229,644,"CS","CS"
2003,538,644,"CS","CS"
2003,644,3992,"CS","CS"
2003,156,646,"CS","CS"
2003,81,646,"CS","CS"
2003,648,2850,"CS","CS"
2003,568,649,"BIO","BIO"
2003,568,649,"BIO","BIO"
2003,568,649,"BIO","BIO"
2003,568,649,"BIO","BIO"
2003,652,2227,"CS","BIO"
2003,485,4067,"CS","CS"
2003,485,652,"CS","CS"
2003,652,4067,"CS","CS"
2003,662,1427,"CS","CS"
2003,662,1427,"CS","CS"
2003,1427,3378,"CS","CS"
2003,662,1427,"CS","CS"
2003,662,3378,"CS","CS"
2003,2120,4171,"CS","CS"
2003,4043,4171,"CS","CS"
2003,665,4171,"CS","CS"
2003,2120,4043,"CS","CS"
2003,665,2120,"CS","CS"
2003,665,4043,"CS","CS"
2003,667,2415,"BIO","BIO"
2003,667,2415,"BIO","BIO"
2003,667,2415,"BIO","BIO"
2003,668,1785,"BIO","BIO"
2003,672,2678,"CS","CS"
2003,674,3024,"CS","CS"
2003,674,1311,"CS","CS"
2003,676,1996,"CS","CS"
2003,3071,4028,"CS","CS"
2003,676,3071,"CS","CS"
2003,676,4028,"CS","CS"
2003,685,1113,"CS","CS"
2003,134,632,"BIO","BIO"
2003,134,691,"BIO","BIO"
2003,632,691,"BIO","BIO"
2003,696,2363,"CS","CS"
2003,698,1563,"BIO","BIO"
2003,702,3664,"BIO","BIO"
2003,708,1006,"CS","CS"
2003,708,1006,"CS","CS"
2003,708,1006,"CS","CS"
2003,708,1006,"CS","CS"
2003,708,1006,"CS","CS"
2003,708,1006,"CS","CS"
2003,3371,4064,"CS","CS"
2003,712,4064,"CS","CS"
2003,712,3371,"CS","CS"
2003,712,3371,"CS","CS"
2003,712,3371,"CS","CS"
2003,712,3371,"CS","CS"
2003,3371,4064,"CS","CS"
2003,712,4064,"CS","CS"
2003,712,3371,"CS","CS"
2003,715,1757,"CS","CS"
2003,716,794,"BIO","BIO"
2003,716,4130,"BIO","CS"
2003,720,1205,"BIO","BIO"
2003,720,1205,"BIO","BIO"
2003,720,1205,"BIO","BIO"
2003,720,1205,"BIO","BIO"
2003,455,730,"CS","CS"
2003,732,3664,"BIO","BIO"
2003,733,3191,"CS","CS"
2003,733,2438,"CS","CS"
2003,733,3191,"CS","CS"
2003,148,733,"CS","CS"
2003,148,3191,"CS","CS"
2003,733,3191,"CS","CS"
2003,734,2943,"CS","CS"
2003,735,1761,"CS","CS"
2003,735,4162,"CS","CS"
2003,268,747,"CS","CS"
2003,268,747,"CS","CS"
2003,753,848,"CS","CS"
2003,753,1362,"CS","CS"
2003,219,755,"CS","CS"
2003,219,755,"CS","CS"
2003,761,3718,"CS","CS"
2003,763,1417,"CS","CS"
2003,2511,3418,"CS","CS"
2003,764,3418,"CS","CS"
2003,3418,3924,"CS","CS"
2003,764,2511,"CS","CS"
2003,2511,3924,"CS","CS"
2003,764,3924,"CS","CS"
2003,767,3467,"CS","CS"
2003,770,3922,"CS","CS"
2003,2924,3922,"CS","CS"
2003,770,2924,"CS","CS"
2003,770,3922,"CS","CS"
2003,770,3922,"CS","CS"
2003,2924,3922,"CS","CS"
2003,770,2924,"CS","CS"
2003,770,2924,"CS","CS"
2003,772,2117,"CS","CS"
2003,777,2179,"CS","CS"
2003,117,781,"CS","CS"
2003,117,781,"CS","CS"
2003,785,1977,"BIO","BIO"
2003,156,786,"CS","CS"
2003,787,3418,"CS","CS"
2003,787,3418,"CS","CS"
2003,787,3418,"CS","CS"
2003,2511,3418,"CS","CS"
2003,3418,3924,"CS","CS"
2003,787,3418,"CS","CS"
2003,2511,3924,"CS","CS"
2003,787,2511,"CS","CS"
2003,787,3924,"CS","CS"
2003,788,3420,"CS","CS"
2003,788,2863,"CS","CS"
2003,2863,3420,"CS","CS"
2003,788,2863,"CS","CS"
2003,791,3912,"CS","CS"
2003,791,1565,"CS","CS"
2003,791,2555,"CS","CS"
2003,3527,3912,"CS","CS"
2003,3396,3912,"CS","CS"
2003,1059,3912,"CS","CS"
2003,791,3912,"CS","CS"
2003,3396,3527,"CS","CS"
2003,1059,3527,"CS","CS"
2003,791,3527,"CS","CS"
2003,1059,3396,"CS","CS"
2003,791,3396,"CS","CS"
2003,791,1059,"CS","CS"
2003,716,794,"BIO","BIO"
2003,798,939,"CS","CS"
2003,510,798,"CS","CS"
2003,799,2256,"CS","CS"
2003,799,2256,"CS","CS"
2003,804,4099,"BIO","BIO"
2003,805,3174,"CS","CS"
2003,805,3174,"CS","CS"
2003,805,3174,"CS","CS"
2003,805,3174,"CS","CS"
2003,806,2481,"CS","CS"
2003,810,1263,"BIO","BIO"
2003,810,1263,"BIO","BIO"
2003,813,2743,"CS","CS"
2003,423,816,"BIO","BIO"
2003,818,1115,"CS","CS"
2003,826,4031,"CS","CS"
2003,2998,4031,"CS","CS"
2003,826,4031,"CS","CS"
2003,826,2998,"CS","CS"
2003,2998,4031,"CS","CS"
2003,826,4031,"CS","CS"
2003,826,2998,"CS","CS"
2003,828,1175,"CS","CS"
2003,831,3656,"CS","CS"
2003,836,3120,"BIO","BIO"
2003,836,3192,"BIO","BIO"
2003,3120,3192,"BIO","BIO"
2003,836,3120,"BIO","BIO"
2003,836,3192,"BIO","BIO"
2003,844,1092,"CS","CS"
2003,844,2306,"CS","CS"
2003,844,2306,"CS","CS"
2003,844,2643,"CS","CS"
2003,1092,2643,"CS","CS"
2003,844,1092,"CS","CS"
2003,379,1883,"CS","CS"
2003,844,1883,"CS","CS"
2003,1092,1883,"CS","CS"
2003,379,844,"CS","CS"
2003,379,1092,"CS","CS"
2003,844,1092,"CS","CS"
2003,63,844,"CS","CS"
2003,847,1792,"CS","CS"
2003,847,1187,"CS","CS"
2003,847,4030,"CS","CS"
2003,847,1187,"CS","CS"
2003,848,3706,"CS","CS"
2003,753,848,"CS","CS"
2003,853,4151,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,1441,"CS","CS"
2003,1441,2392,"CS","CS"
2003,385,854,"CS","CS"
2003,854,4165,"CS","CS"
2003,854,2392,"CS","CS"
2003,385,4165,"CS","CS"
2003,385,2392,"CS","CS"
2003,2392,4165,"CS","CS"
2003,854,4165,"CS","CS"
2003,854,2392,"CS","CS"
2003,2392,4165,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,1441,"CS","CS"
2003,1441,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,1441,"CS","CS"
2003,1441,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,1441,"CS","CS"
2003,1441,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,1441,"CS","CS"
2003,1441,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,1441,"CS","CS"
2003,1441,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,854,2392,"CS","CS"
2003,855,1750,"BIO","BIO"
2003,855,3661,"BIO","BIO"
2003,864,2774,"CS","CS"
2003,864,2943,"CS","CS"
2003,2774,2943,"CS","CS"
2003,864,3945,"CS","CS"
2003,124,864,"CS","CS"
2003,124,3945,"CS","CS"
2003,2592,2919,"CS","BIO"
2003,869,2919,"CS","BIO"
2003,869,2592,"CS","CS"
2003,351,872,"CS","CS"
2003,876,1420,"BIO","BIO"
2003,877,3415,"BIO","CS"
2003,2943,3137,"CS","CS"
2003,878,3137,"CS","CS"
2003,878,2943,"CS","CS"
2003,3137,3656,"CS","CS"
2003,878,3656,"CS","CS"
2003,878,3137,"CS","CS"
2003,878,888,"CS","CS"
2003,878,3137,"CS","CS"
2003,880,3927,"CS","CS"
2003,784,880,"CS","CS"
2003,880,3927,"CS","CS"
2003,880,3927,"CS","CS"
2003,880,3927,"CS","CS"
2003,883,1352,"BIO","BIO"
2003,887,3000,"BIO","BIO"
2003,889,1515,"CS","CS"
2003,483,890,"BIO","BIO"
2003,892,2646,"CS","CS"
2003,387,4101,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,4101,"BIO","BIO"
2003,898,2187,"BIO","CS"
2003,387,2715,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,2715,"BIO","BIO"
2003,387,4101,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,4101,"BIO","BIO"
2003,387,4101,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,4101,"BIO","BIO"
2003,898,4101,"BIO","BIO"
2003,387,4101,"BIO","BIO"
