"Id","google_id","XDIndicator"
203,"1somGYUAAAAJ","XD"
204,"1T3wsnsAAAAJ","BIO"
205,"1tBxBJUAAAAJ","XD"
206,"1UbzzQcAAAAJ","XD"
207,"1UnT11UAAAAJ","BIO"
208,"1uX0rugAAAAJ","XD"
209,"1u_MQY8AAAAJ","XD"
210,"1ve3gzYAAAAJ","BIO"
211,"1vk3NxsAAAAJ","XD"
212,"1WIPsm0AAAAJ","XD"
213,"1wq5H9oAAAAJ","XD"
214,"1X-MOE8AAAAJ","XD"
215,"1xfwEBAAAAAJ","CS"
216,"1z3mv7EAAAAJ","BIO"
217,"1zmDOdwAAAAJ","XD"
218,"1zWBSKEAAAAJ","BIO"
219,"2-jY1SQAAAAJ","XD"
220,"206DEM0AAAAJ","XD"
221,"22aEccUAAAAJ","XD"
222,"25pGNr8AAAAJ","XD"
223,"26h2MnAAAAAJ","CS"
224,"27ytbx8AAAAJ","XD"
225,"28yZqbcAAAAJ","XD"
226,"2aMqJTgAAAAJ","CS"
227,"2aSu29oAAAAJ","XD"
228,"2Ay8qC4AAAAJ","XD"
229,"2b1nMvgAAAAJ","XD"
230,"2Bbi09MAAAAJ","XD"
231,"2Bc3UN4AAAAJ","XD"
232,"2CYhvK0AAAAJ","XD"
233,"2C_5IhcAAAAJ","XD"
234,"2dTrwzAAAAAJ","CS"
235,"2eM6GocAAAAJ","XD"
236,"2ewb-10AAAAJ","XD"
237,"2FbkAzYAAAAJ","XD"
238,"2ftJYXMAAAAJ","XD"
239,"2G1KglQAAAAJ","XD"
240,"2G5HJE0AAAAJ","BIO"
241,"2gggOEIAAAAJ","CS"
242,"2hemeGMAAAAJ","XD"
243,"2hg5lYIAAAAJ","XD"
244,"2HR9-igAAAAJ","XD"
245,"2i7uayYAAAAJ","XD"
246,"2iu5LzQAAAAJ","XD"
247,"2i_mta4AAAAJ","XD"
248,"2j4daMHxyBUC","BIO"
249,"2JMaTKsAAAAJ","XD"
250,"2jRpisYAAAAJ","CS"
251,"2K2-QrMAAAAJ","BIO"
252,"2K2gtpsAAAAJ","BIO"
253,"2kkddh0AAAAJ","XD"
254,"2Kqxn2MAAAAJ","XD"
255,"2KR-hMsAAAAJ","BIO"
256,"2kXsgI4AAAAJ","XD"
257,"2LAmkegAAAAJ","XD"
258,"2lbWNPAAAAAJ","XD"
259,"2LnUVG4AAAAJ","BIO"
260,"2lpCLIYAAAAJ","XD"
261,"2LQimEIAAAAJ","XD"
262,"2M8BWDkAAAAJ","CS"
263,"2mjUsP8AAAAJ","XD"
264,"2mkaUvkAAAAJ","BIO"
265,"2nGk3QQAAAAJ","XD"
266,"2Nz2U0kAAAAJ","XD"
267,"2oclnIwAAAAJ","XD"
268,"2OJOZTUAAAAJ","XD"
269,"2oSSsLYAAAAJ","XD"
270,"2ouPjOAAAAAJ","BIO"
271,"2oy3OXYAAAAJ","XD"
272,"2pH8BZwAAAAJ","CS"
273,"2pW1g5IAAAAJ","XD"
274,"2PxFftgAAAAJ","XD"
275,"2QdlYyMAAAAJ","BIO"
276,"2rg3W8gAAAAJ","BIO"
277,"2rMImAgAAAAJ","BIO"
278,"2s9_ZWgAAAAJ","XD"
279,"2SF6AXQAAAAJ","XD"
280,"2SmbjHAAAAAJ","XD"
281,"2SXzngsAAAAJ","XD"
282,"2tT-FokAAAAJ","XD"
283,"2U1xsKwAAAAJ","BIO"
284,"2UF8gNsAAAAJ","XD"
285,"2uHUSa8AAAAJ","XD"
286,"2UjiMzIAAAAJ","XD"
287,"2upx1AcAAAAJ","XD"
288,"2VAwmhMAAAAJ","BIO"
289,"2vQRGrYAAAAJ","XD"
290,"2vZ5zRQAAAAJ","XD"
291,"2wJaIkEAAAAJ","XD"
292,"2WJqadMAAAAJ","BIO"
293,"2X5Wru0AAAAJ","XD"
294,"2X6fAZgAAAAJ","XD"
295,"2XJfT0UAAAAJ","BIO"
296,"2YLKXzwAAAAJ","XD"
297,"2ZHGNCUAAAAJ","XD"
298,"2zsr0ukAAAAJ","BIO"
299,"2_OASxMAAAAJ","XD"
300,"3-gk0ioAAAAJ","XD"
301,"3-PRZG0AAAAJ","XD"
302,"30fyS8EAAAAJ","XD"
303,"33k5ZFwAAAAJ","XD"
304,"35uGc_MAAAAJ","XD"
305,"36HRdqMAAAAJ","XD"
