"ID","google_id","dept","XDIndicator"
252,"2K2gtpsAAAAJ","BIO","BIO"
253,"2kkddh0AAAAJ","CS","CS"
254,"2Kqxn2MAAAAJ","BIO","BIO"
255,"2KR-hMsAAAAJ","BIO","XD"
256,"2kXsgI4AAAAJ","CS","CS"
257,"2LAmkegAAAAJ","BIO","XD"
258,"2lbWNPAAAAAJ","BIO","BIO"
259,"2LnUVG4AAAAJ","BIO","BIO"
260,"2lpCLIYAAAAJ","BIO","BIO"
261,"2LQimEIAAAAJ","BIO","XD"
262,"2M8BWDkAAAAJ","CS","CS"
263,"2mjUsP8AAAAJ","CS","CS"
264,"2mkaUvkAAAAJ","BIO","BIO"
265,"2nGk3QQAAAAJ","BIO","BIO"
266,"2Nz2U0kAAAAJ","CS","CS"
267,"2oclnIwAAAAJ","CS","CS"
268,"2OJOZTUAAAAJ","CS","CS"
269,"2oSSsLYAAAAJ","CS","XD"
270,"2ouPjOAAAAAJ","BIO","BIO"
271,"2oy3OXYAAAAJ","CS","CS"
272,"2pH8BZwAAAAJ","CS","CS"
273,"2pW1g5IAAAAJ","CS","CS"
274,"2PxFftgAAAAJ","CS","CS"
275,"2QdlYyMAAAAJ","BIO","BIO"
276,"2rg3W8gAAAAJ","BIO","BIO"
277,"2rMImAgAAAAJ","BIO","BIO"
278,"2s9_ZWgAAAAJ","CS","CS"
279,"2SF6AXQAAAAJ","BIO","XD"
280,"2SmbjHAAAAAJ","CS","CS"
281,"2SXzngsAAAAJ","BIO","XD"
282,"2tT-FokAAAAJ","BIO","XD"
283,"2U1xsKwAAAAJ","BIO","XD"
284,"2UF8gNsAAAAJ","CS","CS"
285,"2uHUSa8AAAAJ","CS","CS"
286,"2UjiMzIAAAAJ","BIO","XD"
287,"2upx1AcAAAAJ","BIO","BIO"
288,"2VAwmhMAAAAJ","BIO","BIO"
289,"2vQRGrYAAAAJ","CS","XD"
290,"2vZ5zRQAAAAJ","CS","CS"
291,"2wJaIkEAAAAJ","CS","CS"
292,"2WJqadMAAAAJ","BIO","BIO"
293,"2X5Wru0AAAAJ","BIO","XD"
294,"2X6fAZgAAAAJ","CS","XD"
295,"2XJfT0UAAAAJ","BIO","BIO"
296,"2YLKXzwAAAAJ","BIO","BIO"
297,"2ZHGNCUAAAAJ","CS","CS"
298,"2zsr0ukAAAAJ","BIO","BIO"
299,"2_OASxMAAAAJ","BIO","XD"
300,"3-gk0ioAAAAJ","CS","CS"
301,"3-PRZG0AAAAJ","CS","CS"
302,"30fyS8EAAAAJ","CS","CS"
303,"33k5ZFwAAAAJ","BIO","XD"
304,"35uGc_MAAAAJ","BIO","XD"
305,"36HRdqMAAAAJ","CS","CS"
306,"37e-BIYAAAAJ","BIO","BIO"
