"year","Source","s_dept","Target","t_dept"
1982,2892,"BIO",1379,"BIO"
1982,2444,"BIO",2798,"CS"
1982,2486,"BIO",216,"BIO"
1982,2486,"BIO",216,"BIO"
1982,3536,"CS",2546,"CS"
1982,2584,"BIO",899,"CS"
1982,2697,"BIO",2729,"BIO"
1982,2697,"BIO",2729,"BIO"
1982,2702,"CS",2996,"CS"
1982,2892,"BIO",1379,"BIO"
1982,2935,"BIO",1976,"BIO"
1982,2935,"BIO",1976,"BIO"
1982,2935,"BIO",1976,"BIO"
1982,2702,"CS",2996,"CS"
1982,3028,"CS",4171,"CS"
1982,3028,"CS",4171,"CS"
1982,3028,"CS",942,"CS"
1982,735,"CS",3073,"CS"
1982,557,"BIO",3370,"BIO"
1982,213,"BIO",3529,"BIO"
1982,213,"BIO",3529,"BIO"
1982,3536,"CS",2546,"CS"
1982,4018,"BIO",1156,"CS"
1982,3028,"CS",4171,"CS"
1982,1508,"CS",4171,"CS"
1982,3028,"CS",4171,"CS"
1983,83,"BIO",3456,"BIO"
1983,106,"CS",1558,"CS"
1983,174,"CS",2170,"CS"
1983,371,"CS",1999,"CS"
1983,3168,"CS",378,"CS"
1983,3168,"CS",378,"CS"
1983,3668,"CS",550,"CS"
1983,728,"BIO",3025,"BIO"
1983,3853,"CS",765,"CS"
1983,3853,"CS",765,"CS"
1983,3467,"CS",798,"CS"
1983,2486,"BIO",804,"BIO"
1983,2486,"BIO",804,"BIO"
1983,2486,"BIO",804,"BIO"
1983,2486,"BIO",804,"BIO"
1983,2486,"BIO",804,"BIO"
1983,805,"CS",1092,"CS"
1983,849,"CS",3410,"CS"
1983,2584,"BIO",899,"CS"
1983,1060,"BIO",3350,"BIO"
1983,1060,"BIO",1234,"BIO"
1983,3350,"BIO",1234,"BIO"
1983,1060,"BIO",1234,"BIO"
1983,4018,"BIO",1156,"CS"
1983,3350,"BIO",1234,"BIO"
1983,1283,"CS",2330,"CS"
1983,1322,"CS",1455,"CS"
1983,1335,"BIO",411,"BIO"
1983,1508,"CS",4171,"CS"
1983,106,"CS",1558,"CS"
1983,1219,"CS",1574,"CS"
1983,1641,"CS",899,"CS"
1983,2222,"BIO",1644,"BIO"
1983,2222,"BIO",1644,"BIO"
1983,2222,"BIO",1644,"BIO"
1983,2222,"BIO",1644,"BIO"
1983,3028,"CS",1814,"CS"
1983,83,"BIO",1904,"BIO"
1983,1990,"CS",4187,"CS"
1983,371,"CS",1999,"CS"
1983,2222,"BIO",1644,"BIO"
1983,2222,"BIO",1644,"BIO"
1983,2222,"BIO",1644,"BIO"
1983,2222,"BIO",1644,"BIO"
1983,475,"CS",2267,"CS"
1983,4174,"BIO",2276,"BIO"
