"Faculty","XDIndicator","NumOfPolinator"
"1duOrVIAAAAJ",0,10
"1duOrVIAAAAJ",2,2
"1duOrVIAAAAJ",0,7
"1duOrVIAAAAJ",2,3
"1duOrVIAAAAJ",0,5
"1duOrVIAAAAJ",0,7
"1duOrVIAAAAJ",0,7
"1duOrVIAAAAJ",0,6
"1duOrVIAAAAJ",2,1
"1duOrVIAAAAJ",0,7
"1duOrVIAAAAJ",2,2
"1duOrVIAAAAJ",0,7
"1duOrVIAAAAJ",0,10
"1duOrVIAAAAJ",0,14
"1duOrVIAAAAJ",2,2
"1duOrVIAAAAJ",0,16
"1duOrVIAAAAJ",2,3
"1duOrVIAAAAJ",0,8
"1duOrVIAAAAJ",2,1
"1duOrVIAAAAJ",0,4
"1fEZ_osAAAAJ",1,1
"1fEZ_osAAAAJ",2,2
"1fEZ_osAAAAJ",1,1
"1fEZ_osAAAAJ",2,1
"1hEE9ZsAAAAJ",1,1
"1hEE9ZsAAAAJ",1,2
"1HYDaVIAAAAJ",1,1
"1HYDaVIAAAAJ",1,1
"1HYDaVIAAAAJ",1,1
"1h_0s3wAAAAJ",0,7
"1jE4flwAAAAJ",0,1
"1jE4flwAAAAJ",0,1
"utnDy7MAAAAJ",0,1
"1jE4flwAAAAJ",0,1
"1lvl_XYAAAAJ",0,4
"1lvl_XYAAAAJ",0,2
"1l_zPXQAAAAJ",0,2
"1l_zPXQAAAAJ",2,1
"1l_zPXQAAAAJ",0,4
"1l_zPXQAAAAJ",2,1
"1l_zPXQAAAAJ",2,1
"1l_zPXQAAAAJ",2,1
"ghWKWBUAAAAJ",1,4
"1mMmqs4AAAAJ",1,4
"1nr7TU0AAAAJ",0,6
"1nr7TU0AAAAJ",0,2
"1nr7TU0AAAAJ",0,3
"sc9YppcAAAAJ",2,4
"1s3GeggAAAAJ",2,4
"OayIeVEAAAAJ",0,2
"OayIeVEAAAAJ",2,1
"1s3GeggAAAAJ",0,2
"1s3GeggAAAAJ",2,1
"1s3GeggAAAAJ",0,4
"1sBMvJIAAAAJ",0,4
"1sBMvJIAAAAJ",2,1
"1sBMvJIAAAAJ",0,7
"1somGYUAAAAJ",0,5
"1somGYUAAAAJ",0,3
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",0,1
