"FacultyI","FacultyJ","XDIndicator"
"2-jY1SQAAAAJ","BaI7l8QAAAAJ",1
"67kghxAAAAAJ","BbzYzsgAAAAJ",1
"BbzZlWsAAAAJ","n7Z3EDsAAAAJ",1
"BbzZlWsAAAAJ","n7Z3EDsAAAAJ",1
"EZk2dkwAAAAJ","bcDwcMQAAAAJ",0
"BEEuinQAAAAJ","ymwKqZsAAAAJ",1
"BEEuinQAAAAJ","ymwKqZsAAAAJ",1
"BEEuinQAAAAJ","ymwKqZsAAAAJ",1
"BEEuinQAAAAJ","ymwKqZsAAAAJ",1
"1l_zPXQAAAAJ","BFNNvUYAAAAJ",0
"pdpOwtkAAAAJ","BghVDhgAAAAJ",1
"bhO5bMAAAAAJ","OsoQ-dcAAAAJ",1
"bhO5bMAAAAAJ","OsoQ-dcAAAAJ",1
"bhO5bMAAAAAJ","KOrhfVMAAAAJ",1
"bhO5bMAAAAAJ","OsoQ-dcAAAAJ",1
"BkrB4awAAAAJ","fUTN90MAAAAJ",1
"EfuT9RoAAAAJ","blFs68UAAAAJ",1
"4q6YakgAAAAJ","blg0nusAAAAJ",0
"ncgNqP8AAAAJ","BMcwwBgAAAAJ",0
"I4TkqC0AAAAJ","BMydCgcAAAAJ",1
"Bn0zSwQAAAAJ","GRGOG1AAAAAJ",1
"Bn0zSwQAAAAJ","GRGOG1AAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"iTii9qEAAAAJ","BnxU9TEAAAAJ",2
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"iTii9qEAAAAJ","BnxU9TEAAAAJ",2
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"iTii9qEAAAAJ","BnxU9TEAAAAJ",2
"gAP-9H8AAAAJ","Br2CnUYAAAAJ",1
"gAP-9H8AAAAJ","Br2CnUYAAAAJ",1
"gAP-9H8AAAAJ","Br2CnUYAAAAJ",1
"gAP-9H8AAAAJ","Br2CnUYAAAAJ",1
"gAP-9H8AAAAJ","Br2CnUYAAAAJ",1
"gAP-9H8AAAAJ","Br2CnUYAAAAJ",1
"gAP-9H8AAAAJ","Br2CnUYAAAAJ",1
"orHlhhQAAAAJ","bRjJOrMAAAAJ",1
"VUmcVOAAAAAJ","bWTPrLEAAAAJ",1
"VUmcVOAAAAAJ","bWTPrLEAAAAJ",1
"VUmcVOAAAAAJ","bWTPrLEAAAAJ",1
"-had2Q8AAAAJ","C1c54H4AAAAJ",0
"Wj4ZBFIAAAAJ","C1skWKgAAAAJ",1
"Wj4ZBFIAAAAJ","uFJi3IUAAAAJ",1
"Wj4ZBFIAAAAJ","C1skWKgAAAAJ",1
