"Faculty","XDIndicator","NumOfPolinator"
"0cy3s0AAAAAJ",0,2
"0cy3s0AAAAAJ",0,4
"0cy3s0AAAAAJ",0,3
"-had2Q8AAAAJ",0,87
"-had2Q8AAAAJ",2,9
"LGp68QwAAAAJ",0,87
"LGp68QwAAAAJ",2,9
"0cy3s0AAAAAJ",0,87
"0cy3s0AAAAAJ",2,9
"lRTRxSIAAAAJ",0,87
"lRTRxSIAAAAJ",2,9
"0cy3s0AAAAAJ",0,1
"0cy3s0AAAAAJ",0,1
"0cy3s0AAAAAJ",0,1
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,4
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"0ESwQagAAAAJ",0,1
"0ESwQagAAAAJ",0,2
"nVksQusAAAAJ",0,1
"nVksQusAAAAJ",2,1
"0ESwQagAAAAJ",0,1
"0ESwQagAAAAJ",2,1
"0fq5QeIAAAAJ",1,2
"0fq5QeIAAAAJ",2,2
"0fq5QeIAAAAJ",1,1
"0fq5QeIAAAAJ",2,1
"0fq5QeIAAAAJ",2,1
"0IHc9DUAAAAJ",1,1
"0IHc9DUAAAAJ",2,1
"pPUjlKwAAAAJ",1,1
"pPUjlKwAAAAJ",2,1
"0IHc9DUAAAAJ",1,1
"0IHc9DUAAAAJ",1,1
"0IHc9DUAAAAJ",1,1
"0IHc9DUAAAAJ",1,1
"0IHc9DUAAAAJ",1,3
"0IHc9DUAAAAJ",2,1
"0IHc9DUAAAAJ",1,5
"0IHc9DUAAAAJ",2,1
"0iJRaawAAAAJ",2,1
"0iJRaawAAAAJ",1,1
"0iJRaawAAAAJ",1,1
"0iJRaawAAAAJ",1,2
"0iJRaawAAAAJ",2,1
"0irVeiQAAAAJ",1,2
"0irVeiQAAAAJ",1,2
"0IrZEuIAAAAJ",0,1
"0jSdqoEAAAAJ",1,1
"0jSdqoEAAAAJ",1,1
"0jSdqoEAAAAJ",1,3
"0jSdqoEAAAAJ",1,4
"0Kl8sf4AAAAJ",0,8
"0Kl8sf4AAAAJ",0,3
"0lcJYs8AAAAJ",2,1
"0nBysEcAAAAJ",1,4
"0nBysEcAAAAJ",1,1
"0nBysEcAAAAJ",1,1
"0OdjAAkAAAAJ",0,1
"0OdjAAkAAAAJ",2,1
"0OdjAAkAAAAJ",0,2
"0OdjAAkAAAAJ",0,4
"0OdjAAkAAAAJ",0,2
"0OdjAAkAAAAJ",0,1
"0OdjAAkAAAAJ",0,1
"0OdjAAkAAAAJ",0,5
"0oj4N0sAAAAJ",0,1
"0oj4N0sAAAAJ",0,1
"0oj4N0sAAAAJ",0,3
"0oj4N0sAAAAJ",0,2
"0oj4N0sAAAAJ",0,1
"AYT3-TcAAAAJ",0,2
"0oj4N0sAAAAJ",0,2
"0oj4N0sAAAAJ",0,2
"0oj4N0sAAAAJ",0,2
"0Qr2IGwAAAAJ",1,1
"0RMteS0AAAAJ",1,2
"0RMteS0AAAAJ",1,2
"0RMteS0AAAAJ",1,1
"0RMteS0AAAAJ",1,1
"0RMteS0AAAAJ",1,1
"0RMteS0AAAAJ",2,1
"0RMteS0AAAAJ",1,2
"0skgDnMAAAAJ",1,2
"0skgDnMAAAAJ",2,2
"0sU4eAwAAAAJ",0,5
"iRaegw8AAAAJ",0,6
"0sU4eAwAAAAJ",0,6
"0tJWcp4AAAAJ",2,1
"0tJWcp4AAAAJ",0,4
"0tJWcp4AAAAJ",2,9
"0udXcCEAAAAJ",0,3
"0udXcCEAAAAJ",0,2
"0VFi-vAAAAAJ",1,1
"fUTN90MAAAAJ",1,1
"0VFi-vAAAAAJ",1,2
"0VFi-vAAAAAJ",1,1
"fUTN90MAAAAJ",1,1
"0VFi-vAAAAAJ",1,1
"fUTN90MAAAAJ",1,1
"0vWWXXUAAAAJ",1,2
"0vWWXXUAAAAJ",1,2
"0vWWXXUAAAAJ",1,2
"0VzUxIcAAAAJ",1,2
"0VzUxIcAAAAJ",2,1
"0VzUxIcAAAAJ",1,1
"0VzUxIcAAAAJ",1,2
"0VzUxIcAAAAJ",1,2
"0VzUxIcAAAAJ",1,1
"0VzUxIcAAAAJ",1,2
"0y6JDD4AAAAJ",1,1
"YxGHbuMAAAAJ",1,1
"0y6JDD4AAAAJ",1,1
"0y6JDD4AAAAJ",1,3
"0y6JDD4AAAAJ",1,2
"0YlwI5MAAAAJ",1,1
"0YlwI5MAAAAJ",1,3
"0YlwI5MAAAAJ",2,1
"0YlwI5MAAAAJ",1,1
