"google_id","year","citations","coauthor_codes","zp","ap","tp","iXDp","PR","bf"
"-0nYQVIAAAAJ",2013,52,"0,0,2,0,0,0,0,0,0,-0nYQVIAAAAJ,0,0,0,0,0,0,0",-0.349185678094853,17,8,1,0.000349979424459592,0.0625
"-0nYQVIAAAAJ",2011,244,"0,0,0,0,0,nzTXeNsAAAAJ,0,2,0,0,0,jv-19EoAAAAJ,0,-0nYQVIAAAAJ,0,0",-0.366774502028515,16,6,1,0.000349979424459592,0.0769230769230769
"-0nYQVIAAAAJ",2013,11,"0,0,-0nYQVIAAAAJ,2",-0.374064836338256,4,8,1,0.000349979424459592,0.333333333333333
"-0nYQVIAAAAJ",2014,31,"0,0,1LG-V8EAAAAJ,-0nYQVIAAAAJ",-0.2238331489798,4,9,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2014,16,"0,-0nYQVIAAAAJ,0,0,0",-0.232813379813101,5,9,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2012,338,"0,0,0,0,2,0,0,0,0,0,0,-0nYQVIAAAAJ,0,0,0,0,0,0,0",-0.244710729273423,19,7,1,0.000349979424459592,0.0555555555555556
"-0nYQVIAAAAJ",2011,156,"0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0nYQVIAAAAJ,2,0,0,0",-0.371422539516728,27,6,1,0.000349979424459592,0.115384615384615
"-0nYQVIAAAAJ",2015,104,"0,0,-0nYQVIAAAAJ,0,2,0",-0.14386939783786,6,10,1,0.000349979424459592,0.2
"-0nYQVIAAAAJ",2015,8,"2,-0nYQVIAAAAJ,kUwCxIUAAAAJ,0",-0.19533768545484,4,10,1,0.000349979424459592,0.5
"-0nYQVIAAAAJ",2012,36,"0,0,0,0,2,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0,0,0,0,0,0,0",-0.264260632143015,20,7,1,0.000349979424459592,0.0526315789473684
"-0nYQVIAAAAJ",2014,54,"0,0,0,0,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0",-0.216143828578966,13,9,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2013,25,"0,0,mAbA6EoAAAAJ,0,0,0,0,0,0,0,0,2,0,-0nYQVIAAAAJ,0,0,8vsRBCgAAAAJ,0,0",-0.361114449626587,19,8,1,0.000349979424459592,0.0625
"-0nYQVIAAAAJ",2015,52,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0,0,0,0,0,0,0,0,0,0,0,2",-0.1581921606352,45,10,1,0.000349979424459592,0.0227272727272727
"-0nYQVIAAAAJ",2013,22,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0,0,0,0,0,5NAFTkAAAAAJ,0,0,0",-0.363167952274522,24,8,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2014,10,"2,-0nYQVIAAAAJ",-0.238993802490148,2,9,1,0.000349979424459592,1
"-0nYQVIAAAAJ",2014,65,"0,-0nYQVIAAAAJ,0",-0.213555320638398,3,9,0,0.000349979424459592,0
