"year","Source","Target","s_dept","t_dept"
2010,513,3893,"CS","CS"
2010,305,513,"CS","CS"
2010,307,1325,"CS","CS"
2010,308,1738,"CS","CS"
2010,309,3745,"BIO","CS"
2010,310,2514,"BIO","BIO"
2010,313,1522,"CS","CS"
2010,319,3584,"CS","CS"
2010,320,3038,"BIO","BIO"
2010,321,2620,"CS","CS"
2010,328,2020,"BIO","BIO"
2010,1625,3640,"CS","CS"
2010,331,3640,"CS","CS"
2010,1560,3640,"CS","CS"
2010,331,1625,"CS","CS"
2010,1560,1625,"CS","CS"
2010,331,1560,"CS","CS"
2010,332,3394,"BIO","BIO"
2010,335,1893,"BIO","BIO"
2010,337,1891,"CS","CS"
2010,338,942,"CS","CS"
2010,338,769,"CS","BIO"
2010,339,2112,"CS","CS"
2010,339,974,"CS","CS"
2010,974,2112,"CS","CS"
2010,344,691,"BIO","BIO"
2010,345,1744,"CS","CS"
2010,345,3680,"CS","CS"
2010,345,4019,"CS","CS"
2010,346,4071,"CS","CS"
2010,346,1121,"CS","CS"
2010,347,757,"BIO","BIO"
2010,347,1010,"BIO","BIO"
2010,348,1713,"CS","CS"
2010,349,1923,"BIO","BIO"
2010,350,3802,"CS","CS"
2010,351,1036,"CS","CS"
2010,731,2691,"CS","CS"
2010,351,2691,"CS","CS"
2010,351,731,"CS","CS"
2010,352,3916,"CS","CS"
2010,353,4087,"CS","CS"
2010,353,3541,"CS","CS"
2010,3541,4087,"CS","CS"
2010,353,2182,"CS","CS"
2010,358,2573,"BIO","BIO"
2010,360,872,"CS","CS"
2010,361,672,"CS","CS"
2010,362,1358,"BIO","BIO"
2010,366,969,"CS","CS"
2010,367,3351,"CS","CS"
2010,368,2859,"BIO","BIO"
2010,373,3864,"CS","CS"
2010,2950,3606,"CS","CS"
2010,374,3606,"CS","CS"
2010,374,2950,"CS","CS"
2010,433,1919,"CS","CS"
2010,22,1919,"CS","CS"
2010,376,1919,"CS","CS"
2010,22,433,"CS","CS"
2010,376,433,"CS","CS"
2010,22,376,"CS","CS"
2010,376,1939,"CS","CS"
2010,378,4079,"CS","CS"
2010,380,3422,"CS","CS"
2010,2643,4083,"CS","CS"
2010,381,2643,"CS","CS"
2010,1092,2643,"CS","CS"
2010,381,4083,"CS","CS"
2010,1092,4083,"CS","CS"
2010,381,1092,"CS","CS"
2010,63,381,"CS","CS"
2010,382,2500,"BIO","BIO"
2010,382,1575,"BIO","BIO"
2010,1174,1575,"BIO","BIO"
2010,382,1174,"BIO","BIO"
2010,382,3754,"BIO","CS"
2010,384,958,"BIO","BIO"
2010,385,2392,"CS","CS"
2010,385,4165,"CS","CS"
2010,2392,4165,"CS","CS"
2010,387,2963,"BIO","BIO"
2010,388,2252,"BIO","BIO"
2010,388,1532,"BIO","CS"
2010,1532,2887,"CS","BIO"
2010,388,2887,"BIO","BIO"
2010,391,3443,"CS","CS"
2010,391,3590,"CS","CS"
2010,391,1247,"CS","CS"
2010,391,1490,"CS","CS"
2010,1247,1490,"CS","CS"
2010,395,2501,"BIO","CS"
2010,395,2618,"BIO","BIO"
2010,396,553,"CS","CS"
2010,397,848,"CS","CS"
2010,397,3792,"CS","CS"
2010,397,646,"CS","CS"
2010,399,1534,"CS","CS"
2010,399,1652,"CS","CS"
2010,1534,1652,"CS","CS"
2010,399,2533,"CS","CS"
2010,399,1442,"CS","CS"
2010,2404,3211,"CS","CS"
2010,399,2404,"CS","CS"
2010,399,3211,"CS","CS"
2010,399,2032,"CS","CS"
2010,2032,3125,"CS","CS"
2010,399,3125,"CS","CS"
2010,399,867,"CS","CS"
2010,399,3143,"CS","CS"
2010,2533,3143,"CS","CS"
2010,1442,1652,"CS","CS"
2010,399,2201,"CS","CS"
2010,2201,2533,"CS","CS"
2010,401,3786,"CS","CS"
2010,402,3074,"BIO","BIO"
2010,403,2213,"CS","CS"
2010,468,2213,"CS","CS"
2010,403,468,"CS","CS"
2010,404,458,"CS","CS"
2010,405,1337,"BIO","BIO"
2010,407,1623,"CS","CS"
2010,407,1411,"CS","CS"
2010,1411,1623,"CS","CS"
2010,407,1206,"CS","CS"
2010,1206,2775,"CS","CS"
2010,407,2775,"CS","CS"
2010,2775,3519,"CS","CS"
2010,1206,3519,"CS","CS"
2010,407,3519,"CS","CS"
2010,1206,1623,"CS","CS"
2010,294,408,"CS","CS"
2010,409,1220,"CS","CS"
2010,413,3638,"CS","CS"
2010,422,2061,"CS","CS"
2010,429,2061,"CS","CS"
2010,422,429,"CS","CS"
2010,423,816,"BIO","BIO"
2010,425,3492,"BIO","BIO"
2010,425,1099,"BIO","BIO"
2010,425,762,"BIO","BIO"
2010,426,3202,"BIO","BIO"
2010,1463,1825,"BIO","BIO"
2010,426,1825,"BIO","BIO"
2010,426,1463,"BIO","BIO"
2010,431,2423,"CS","CS"
2010,433,984,"CS","CS"
2010,22,984,"CS","CS"
2010,1801,1919,"CS","CS"
2010,433,1801,"CS","CS"
2010,434,1456,"BIO","BIO"
2010,437,4110,"BIO","BIO"
2010,437,2834,"BIO","BIO"
2010,2834,4110,"BIO","BIO"
2010,439,908,"CS","CS"
2010,439,1965,"CS","CS"
2010,443,2310,"CS","CS"
2010,444,2844,"CS","CS"
2010,444,3536,"CS","CS"
2010,3536,3730,"CS","CS"
2010,444,3730,"CS","CS"
2010,448,1008,"BIO","BIO"
2010,2854,3058,"BIO","BIO"
2010,448,2854,"BIO","BIO"
2010,448,3058,"BIO","BIO"
2010,450,1228,"CS","CS"
2010,451,4134,"CS","CS"
2010,452,846,"CS","CS"
2010,453,3639,"CS","CS"
2010,453,2952,"CS","CS"
2010,453,3804,"CS","CS"
2010,454,1523,"CS","CS"
2010,1523,3467,"CS","CS"
2010,454,3467,"CS","CS"
2010,3467,3988,"CS","CS"
2010,454,3988,"CS","CS"
2010,455,1027,"CS","CS"
2010,455,2483,"CS","CS"
2010,455,3753,"CS","CS"
2010,455,3024,"CS","CS"
2010,456,4028,"CS","CS"
2010,457,4055,"CS","CS"
2010,847,4104,"CS","CS"
2010,458,4104,"CS","CS"
2010,458,847,"CS","CS"
2010,459,3214,"CS","CS"
2010,459,3960,"CS","CS"
2010,464,2428,"CS","CS"
2010,466,1744,"CS","CS"
2010,468,1325,"CS","CS"
2010,474,1819,"CS","CS"
2010,474,3850,"CS","CS"
2010,479,4008,"BIO","CS"
2010,481,1705,"CS","CS"
2010,481,3275,"CS","CS"
2010,483,3883,"BIO","BIO"
2010,485,3144,"CS","CS"
2010,485,2059,"CS","CS"
2010,485,3360,"CS","CS"
2010,485,991,"CS","CS"
2010,488,2111,"BIO","BIO"
2010,489,1427,"CS","CS"
2010,662,1427,"CS","CS"
2010,489,662,"CS","CS"
2010,493,1371,"CS","CS"
2010,1050,2754,"CS","CS"
2010,495,1050,"CS","CS"
2010,495,2754,"CS","CS"
2010,496,2068,"BIO","BIO"
2010,504,928,"CS","CS"
2010,504,3624,"CS","CS"
2010,505,1576,"BIO","BIO"
2010,507,1696,"BIO","BIO"
2010,509,2227,"BIO","BIO"
2010,510,2870,"CS","CS"
2010,510,4064,"CS","CS"
2010,513,1684,"CS","CS"
2010,514,3524,"BIO","BIO"
2010,515,846,"CS","CS"
2010,338,516,"CS","CS"
2010,289,516,"CS","CS"
2010,517,2393,"BIO","BIO"
2010,521,1869,"CS","CS"
2010,522,1944,"CS","CS"
2010,523,843,"BIO","BIO"
2010,525,4121,"BIO","BIO"
2010,526,3382,"CS","CS"
2010,757,2796,"BIO","CS"
2010,1010,2796,"BIO","CS"
2010,2180,2796,"BIO","CS"
2010,528,2796,"CS","CS"
2010,757,1010,"BIO","BIO"
2010,757,2180,"BIO","BIO"
2010,528,757,"CS","BIO"
2010,1010,2180,"BIO","BIO"
2010,528,2180,"CS","BIO"
2010,532,3262,"CS","CS"
2010,2252,3463,"BIO","BIO"
2010,535,2252,"BIO","BIO"
2010,535,3463,"BIO","BIO"
2010,536,1175,"CS","CS"
2010,1175,1955,"CS","CS"
2010,536,1955,"CS","CS"
2010,538,3064,"CS","CS"
2010,229,538,"CS","CS"
2010,229,3064,"CS","CS"
2010,539,3741,"BIO","BIO"
2010,540,1407,"BIO","BIO"
2010,544,580,"BIO","BIO"
2010,544,2125,"BIO","BIO"
2010,161,545,"CS","CS"
2010,545,2870,"CS","CS"
2010,510,545,"CS","CS"
2010,546,2480,"CS","CS"
2010,546,1587,"CS","CS"
2010,546,2646,"CS","CS"
2010,364,547,"CS","CS"
2010,547,3446,"CS","CS"
2010,552,648,"CS","CS"
2010,1461,2112,"CS","CS"
2010,553,2112,"CS","CS"
2010,553,1461,"CS","CS"
2010,553,2894,"CS","CS"
2010,556,985,"CS","CS"
2010,1751,3228,"BIO","BIO"
2010,1751,1785,"BIO","BIO"
2010,1751,3669,"BIO","BIO"
2010,559,1751,"BIO","BIO"
2010,1751,2527,"BIO","BIO"
2010,1785,3228,"BIO","BIO"
2010,3228,3669,"BIO","BIO"
2010,559,3228,"BIO","BIO"
2010,2527,3228,"BIO","BIO"
2010,1785,3669,"BIO","BIO"
2010,559,1785,"BIO","BIO"
2010,1785,2527,"BIO","BIO"
2010,559,3669,"BIO","BIO"
2010,2527,3669,"BIO","BIO"
2010,559,2527,"BIO","BIO"
2010,559,993,"BIO","BIO"
2010,560,1083,"CS","CS"
2010,563,1165,"BIO","BIO"
2010,3249,3371,"CS","CS"
2010,564,3371,"CS","CS"
2010,564,3249,"CS","CS"
2010,573,2999,"BIO","BIO"
2010,577,3947,"CS","CS"
2010,577,1744,"CS","CS"
2010,466,577,"CS","CS"
2010,577,2958,"CS","CS"
2010,577,4126,"CS","CS"
2010,577,848,"CS","CS"
2010,581,1861,"CS","CS"
2010,585,2252,"BIO","BIO"
2010,585,2234,"BIO","BIO"
2010,585,3176,"BIO","BIO"
2010,585,2232,"BIO","CS"
2010,2232,2252,"CS","BIO"
2010,147,588,"CS","CS"
2010,588,1527,"CS","CS"
2010,588,3853,"CS","CS"
2010,588,3573,"CS","CS"
2010,453,588,"CS","CS"
2010,120,592,"BIO","BIO"
2010,592,2366,"BIO","BIO"
2010,594,1050,"CS","CS"
2010,597,3568,"CS","CS"
2010,597,2519,"CS","BIO"
2010,2519,3568,"BIO","CS"
2010,598,3967,"CS","CS"
2010,3211,3967,"CS","CS"
2010,598,3211,"CS","CS"
2010,602,3951,"CS","CS"
2010,604,1509,"CS","CS"
2010,1634,2009,"CS","CS"
2010,606,1634,"CS","CS"
2010,606,2009,"CS","CS"
2010,606,3174,"CS","CS"
2010,608,1744,"CS","CS"
2010,608,3365,"CS","CS"
2010,613,2654,"CS","CS"
2010,614,2217,"CS","CS"
2010,614,2952,"CS","CS"
2010,614,3977,"CS","CS"
2010,614,3344,"CS","CS"
2010,3344,3977,"CS","CS"
2010,616,1684,"CS","CS"
2010,616,1747,"CS","CS"
2010,618,1306,"BIO","BIO"
2010,621,831,"CS","CS"
2010,621,3977,"CS","CS"
2010,806,4039,"CS","CS"
2010,806,2481,"CS","CS"
2010,624,806,"CS","CS"
2010,2481,4039,"CS","CS"
2010,624,4039,"CS","CS"
2010,624,2481,"CS","CS"
2010,627,2366,"BIO","BIO"
2010,2366,2836,"BIO","BIO"
2010,627,2836,"BIO","BIO"
2010,530,628,"BIO","BIO"
2010,630,3207,"CS","CS"
2010,630,3371,"CS","CS"
2010,630,3544,"CS","CS"
2010,630,965,"CS","CS"
2010,3207,3371,"CS","CS"
2010,3207,3544,"CS","CS"
2010,965,3207,"CS","CS"
2010,3371,3544,"CS","CS"
2010,965,3371,"CS","CS"
2010,965,3544,"CS","CS"
2010,632,691,"BIO","BIO"
2010,633,4134,"CS","CS"
2010,453,2871,"CS","BIO"
2010,453,633,"CS","CS"
2010,633,2871,"CS","BIO"
2010,634,961,"CS","CS"
2010,634,1988,"CS","CS"
2010,961,1988,"CS","CS"
2010,636,3063,"BIO","BIO"
2010,638,1235,"CS","CS"
2010,638,2521,"CS","CS"
2010,485,638,"CS","CS"
2010,638,2547,"CS","CS"
2010,638,1213,"CS","CS"
2010,1213,2547,"CS","CS"
2010,640,2247,"CS","CS"
2010,641,3668,"CS","CS"
2010,643,2260,"BIO","BIO"
2010,646,3516,"CS","CS"
2010,646,2748,"CS","CS"
2010,646,2136,"CS","CS"
2010,650,2953,"BIO","BIO"
2010,651,3539,"BIO","BIO"
2010,652,3814,"CS","CS"
2010,652,2082,"CS","CS"
2010,655,1846,"BIO","BIO"
2010,2166,4086,"BIO","CS"
2010,658,4086,"BIO","CS"
2010,3534,4086,"BIO","CS"
2010,658,2166,"BIO","BIO"
2010,2166,3534,"BIO","BIO"
2010,658,3534,"BIO","BIO"
2010,2471,2518,"BIO","BIO"
2010,658,2471,"BIO","BIO"
2010,659,1803,"CS","CS"
2010,660,2923,"BIO","BIO"
2010,2834,2923,"BIO","BIO"
2010,660,2834,"BIO","BIO"
2010,1427,3378,"CS","CS"
2010,662,3378,"CS","CS"
2010,662,1642,"CS","CS"
2010,662,1156,"CS","CS"
2010,664,2305,"BIO","CS"
2010,665,2120,"CS","CS"
2010,666,3960,"CS","CS"
2010,666,4014,"CS","CS"
2010,666,2868,"CS","CS"
2010,667,2129,"BIO","BIO"
2010,670,3974,"CS","CS"
2010,671,3341,"BIO","BIO"
2010,672,936,"CS","CS"
2010,672,1266,"CS","CS"
2010,673,1455,"CS","CS"
2010,1939,3330,"CS","CS"
2010,674,1939,"CS","CS"
2010,1939,2952,"CS","CS"
2010,674,3330,"CS","CS"
2010,2952,3330,"CS","CS"
2010,674,2952,"CS","CS"
2010,676,3071,"CS","CS"
2010,679,2379,"CS","CS"
2010,680,1417,"CS","CS"
2010,680,3265,"CS","BIO"
2010,680,2817,"CS","BIO"
2010,682,2975,"CS","CS"
2010,353,686,"CS","CS"
2010,702,711,"BIO","BIO"
2010,706,2088,"CS","CS"
2010,707,3887,"CS","CS"
2010,707,1747,"CS","CS"
2010,707,3893,"CS","CS"
2010,711,3871,"BIO","CS"
2010,712,4104,"CS","CS"
2010,712,3749,"CS","CS"
2010,712,2735,"CS","CS"
2010,719,3664,"BIO","BIO"
2010,720,1205,"BIO","BIO"
2010,1205,1386,"BIO","BIO"
2010,720,1386,"BIO","BIO"
2010,721,3669,"BIO","BIO"
2010,725,2803,"CS","CS"
2010,725,971,"CS","CS"
2010,971,2803,"CS","CS"
2010,726,3233,"CS","CS"
2010,728,2944,"BIO","BIO"
2010,730,3363,"CS","CS"
2010,731,1631,"CS","CS"
2010,733,3191,"CS","CS"
2010,734,2437,"CS","CS"
2010,734,1635,"CS","CS"
2010,3387,3823,"BIO","BIO"
2010,737,3823,"BIO","BIO"
2010,3173,3823,"BIO","BIO"
2010,737,3387,"BIO","BIO"
2010,3173,3387,"BIO","BIO"
2010,737,3173,"BIO","BIO"
2010,739,3421,"BIO","BIO"
2010,705,745,"CS","CS"
2010,745,4066,"CS","CS"
2010,746,2239,"BIO","BIO"
2010,748,1040,"BIO","BIO"
2010,755,2800,"CS","CS"
2010,342,757,"BIO","BIO"
2010,759,2484,"BIO","BIO"
2010,448,760,"BIO","BIO"
2010,761,3718,"CS","CS"
2010,762,2148,"BIO","CS"
2010,764,2728,"CS","CS"
2010,764,2870,"CS","CS"
2010,764,3418,"CS","CS"
2010,768,1854,"CS","CS"
2010,770,2924,"CS","CS"
2010,770,2998,"CS","CS"
2010,771,2483,"CS","CS"
2010,772,3183,"CS","CS"
2010,775,1474,"BIO","BIO"
2010,777,2128,"CS","CS"
2010,777,1812,"CS","CS"
2010,1812,2128,"CS","CS"
2010,777,1066,"CS","CS"
2010,1817,2630,"BIO","BIO"
2010,778,1817,"BIO","BIO"
2010,778,2630,"BIO","BIO"
2010,401,781,"CS","CS"
2010,781,4098,"CS","CS"
2010,781,2755,"CS","CS"
2010,2755,4098,"CS","CS"
2010,782,2931,"CS","CS"
2010,530,783,"BIO","BIO"
2010,783,2125,"BIO","BIO"
2010,784,796,"CS","CS"
2010,785,1265,"BIO","BIO"
2010,786,1213,"CS","CS"
2010,786,2280,"CS","BIO"
2010,786,2379,"CS","CS"
