"google_id","XDIndicator"
"4bHar00AAAAJ","CS"
"4BrebIYAAAAJ","XD"
"4e2pnKYAAAAJ","CS"
"4EHmg_4AAAAJ","BIO"
"4EL8ZOUAAAAJ","BIO"
"4EQ2zFYAAAAJ","XD"
"4esyQS4AAAAJ","CS"
"4ew4MwwAAAAJ","XD"
"4FcaMpgAAAAJ","CS"
"4glkLD0AAAAJ","XD"
"4GTpCxcAAAAJ","CS"
"4HrSWNcAAAAJ","CS"
"4JMQMLgAAAAJ","BIO"
"4LCdnkYAAAAJ","CS"
"4Mj-BjwAAAAJ","XD"
"4n8JCSgAAAAJ","XD"
"4O-rMYEAAAAJ","CS"
"4OOz4DcAAAAJ","XD"
"4OvOdSgAAAAJ","XD"
"4pkd0FsAAAAJ","BIO"
"4pWpdEIAAAAJ","CS"
"4PYV1OEAAAAJ","XD"
"4q6YakgAAAAJ","XD"
"4R7_wW8AAAAJ","XD"
"4SYHiigAAAAJ","BIO"
"4tJhnt8AAAAJ","BIO"
"4Tnj6PcAAAAJ","CS"
"4Ts9jNQAAAAJ","CS"
"4TuZa4wAAAAJ","XD"
"4U1F6tcAAAAJ","BIO"
"4uiMIaEAAAAJ","XD"
"4UyniXYAAAAJ","CS"
"4uypulQAAAAJ","CS"
"4veQB4cAAAAJ","XD"
"4VJre9IAAAAJ","CS"
"4wXYfSUAAAAJ","CS"
"4XyoYbAAAAAJ","XD"
"4Y2pXqoAAAAJ","BIO"
"4yuKD_AAAAAJ","CS"
"4_1z8yEAAAAJ","CS"
"5--K4tgAAAAJ","BIO"
"50kDLlkAAAAJ","BIO"
"53RlhUcAAAAJ","CS"
"54w2_AcAAAAJ","XD"
"55B-xqUAAAAJ","CS"
"55fqxgwAAAAJ","XD"
"55pOyCkAAAAJ","XD"
"55VV_usAAAAJ","XD"
"568MtVQAAAAJ","CS"
"56oq6hYAAAAJ","BIO"
"56qcx4MAAAAJ","CS"
"59zyQMYAAAAJ","CS"
"5Aut7EEAAAAJ","CS"
"5bxyMBwAAAAJ","CS"
"5C4hZEgAAAAJ","XD"
"5cDLwU0AAAAJ","BIO"
"5CH2x_YAAAAJ","XD"
"5cJzDZEAAAAJ","CS"
"5CoasaYAAAAJ","BIO"
"5ctD7qIAAAAJ","BIO"
"5dNYKKcAAAAJ","XD"
"5drv17QAAAAJ","XD"
"5DUnLc8AAAAJ","BIO"
"5EqKofQAAAAJ","XD"
"5ExRjncAAAAJ","CS"
"5FZewx8AAAAJ","BIO"
"5GQF2FwAAAAJ","CS"
"5GxH-mYAAAAJ","BIO"
"5H0arvkAAAAJ","CS"
"5HInsKgAAAAJ","BIO"
"5HLGWrIAAAAJ","CS"
"5I3hyEgAAAAJ","XD"
"5i9FResAAAAJ","BIO"
"5iXE9k0AAAAJ","XD"
"5kL-ZrAAAAAJ","CS"
"5lBWbGkAAAAJ","BIO"
"5LsAK74AAAAJ","BIO"
"5LXPLI0AAAAJ","BIO"
"5m-oAesAAAAJ","CS"
"5mIkNyYAAAAJ","XD"
"5NAFTkAAAAAJ","BIO"
"5nhJokEAAAAJ","BIO"
"5nkhrpUAAAAJ","BIO"
"5OSMezYAAAAJ","BIO"
"5oU0wxcAAAAJ","CS"
"5ouAiisAAAAJ","CS"
"5P7Vo2IAAAAJ","XD"
"5PboKNAAAAAJ","CS"
"5pKTRxEAAAAJ","XD"
"5pV6DQ4AAAAJ","XD"
"5qSIhVkAAAAJ","XD"
"5qwfn20AAAAJ","XD"
"5t2myD8AAAAJ","CS"
"5tcfuXMAAAAJ","CS"
"5tk1PV8AAAAJ","CS"
"5TzQdR4AAAAJ","CS"
"5w-u8x8AAAAJ","CS"
"5wcrtr4AAAAJ","XD"
"5wgTi1AAAAAJ","CS"
"5whzpxEAAAAJ","XD"
"5wppdUoAAAAJ","CS"
"5xRaC-AAAAAJ","XD"
"5X_j0lwAAAAJ","XD"
"5ZTO0uMAAAAJ","CS"
"60ZCtZMAAAAJ","XD"
"628Jn7UAAAAJ","CS"
"62GM5XcAAAAJ","CS"
"64iWYEMAAAAJ","XD"
"65eUCyIAAAAJ","BIO"
"65swYMkAAAAJ","XD"
"67aYFTQAAAAJ","XD"
"67kghxAAAAAJ","CS"
"67R6MqcAAAAJ","XD"
"6afbS1EAAAAJ","BIO"
"6ArMETUAAAAJ","XD"
"6c5cf1wAAAAJ","CS"
"6CTPn44AAAAJ","CS"
"6DkAchgAAAAJ","BIO"
"6EapkWgAAAAJ","XD"
"6enh82kAAAAJ","CS"
"6Ff2c8wAAAAJ","CS"
"6H0mhLUAAAAJ","CS"
"6HE56R8AAAAJ","CS"
"6hPAjdYAAAAJ","XD"
"6IHX8J4AAAAJ","CS"
"6II-xhMAAAAJ","XD"
"6IinLVUAAAAJ","CS"
