"google_id","year","citations","coauthor_codes","ap","tp","XDF","XDP"
"-0nYQVIAAAAJ",2012,39,"-0nYQVIAAAAJ",4,7,"BIO",0
"-0nYQVIAAAAJ",2015,20,"mAbA6EoAAAAJ,-0nYQVIAAAAJ,8vsRBCgAAAAJ",18,10,"BIO",0
"-0nYQVIAAAAJ",2015,85,"-0nYQVIAAAAJ",3,10,"BIO",0
"-0nYQVIAAAAJ",2013,13,"-0nYQVIAAAAJ",6,8,"BIO",0
"-0nYQVIAAAAJ",2010,298,"-0nYQVIAAAAJ",2,5,"BIO",0
"-0nYQVIAAAAJ",2013,25,"-0nYQVIAAAAJ",8,8,"BIO",0
"-0nYQVIAAAAJ",2014,48,"mAbA6EoAAAAJ,-0nYQVIAAAAJ,8vsRBCgAAAAJ",23,9,"BIO",0
"-0nYQVIAAAAJ",2015,9,"mAbA6EoAAAAJ,-0nYQVIAAAAJ",14,10,"BIO",0
"-0nYQVIAAAAJ",2011,34,"-0nYQVIAAAAJ",6,6,"BIO",0
"-0nYQVIAAAAJ",2006,4,"-0nYQVIAAAAJ",14,1,"BIO",0
"-0nYQVIAAAAJ",2010,53,"-0nYQVIAAAAJ",8,5,"BIO",0
"-0nYQVIAAAAJ",2007,374,"-0nYQVIAAAAJ",4,2,"BIO",0
"-0nYQVIAAAAJ",2008,546,"-0nYQVIAAAAJ",3,3,"BIO",0
