"serial_id","google_id","XDIndicator","XD95","XD00","XD05","XD10","XD15"
173,"1duOrVIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
174,"1fEZ_osAAAAJ","CS","CS","CS","CS","CS","CS"
175,"1FwsujMAAAAJ","CS","CS","CS","CS","CS","CS"
176,"1hEE9ZsAAAAJ","CS","CS","CS","CS","XD","XD"
177,"1HYDaVIAAAAJ","CS","CS","CS","CS","CS","CS"
178,"1h_0s3wAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
179,"1jE4flwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
180,"1jjyaBYAAAAJ","CS","CS","CS","CS","CS","CS"
181,"1KRXBIwAAAAJ","CS","CS","CS","CS","CS","CS"
182,"1kTPw60AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
183,"1kwoMp0AAAAJ","CS","CS","CS","CS","CS","CS"
184,"1LG-V8EAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
185,"1LUuMc8AAAAJ","CS","CS","CS","CS","CS","CS"
186,"1lvl_XYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
187,"1l_zPXQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
188,"1mMmqs4AAAAJ","CS","CS","CS","CS","CS","CS"
189,"1MwNI3EAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
190,"1nr7TU0AAAAJ","BIO","BIO","BIO","XD","XD","XD"
191,"1NtRHc4AAAAJ","CS","CS","CS","CS","CS","XD"
192,"1OipGrkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
193,"1P6HeqQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
194,"1pRIDP4AAAAJ","CS","CS","CS","CS","CS","CS"
195,"1q4T4E4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
196,"1QnCveAAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
197,"1R-Pn34AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
198,"1RdlZvQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
199,"1s3GeggAAAAJ","BIO","XD","XD","XD","XD","XD"
200,"1sBMvJIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
201,"1sHiufgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
202,"1SJPBDAAAAAJ","CS","CS","CS","CS","XD","XD"
203,"1somGYUAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
204,"1T3wsnsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
205,"1tBxBJUAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
206,"1UbzzQcAAAAJ","BIO","BIO","XD","XD","XD","XD"
207,"1UnT11UAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
208,"1uX0rugAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
209,"1u_MQY8AAAAJ","BIO","BIO","BIO","BIO","XD","XD"
210,"1ve3gzYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
211,"1vk3NxsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
212,"1WIPsm0AAAAJ","BIO","BIO","BIO","XD","XD","XD"
213,"1wq5H9oAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
214,"1X-MOE8AAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
215,"1xfwEBAAAAAJ","CS","CS","CS","CS","CS","CS"
216,"1z3mv7EAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
217,"1zmDOdwAAAAJ","CS","CS","CS","XD","XD","XD"
218,"1zWBSKEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
219,"2-jY1SQAAAAJ","CS","CS","CS","CS","CS","CS"
220,"206DEM0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
221,"22aEccUAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
222,"25pGNr8AAAAJ","BIO","BIO","BIO","BIO","XD","XD"
223,"26h2MnAAAAAJ","CS","CS","CS","CS","CS","CS"
224,"27ytbx8AAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
225,"28yZqbcAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
226,"2aMqJTgAAAAJ","CS","CS","CS","CS","CS","CS"
227,"2aSu29oAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
228,"2Ay8qC4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
229,"2b1nMvgAAAAJ","CS","CS","CS","XD","XD","XD"
230,"2Bbi09MAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
231,"2Bc3UN4AAAAJ","CS","CS","CS","CS","CS","XD"
232,"2CYhvK0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
233,"2C_5IhcAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
234,"2dTrwzAAAAAJ","CS","CS","CS","CS","CS","CS"
235,"2eM6GocAAAAJ","CS","CS","CS","CS","CS","CS"
236,"2ewb-10AAAAJ","CS","CS","CS","CS","CS","CS"
237,"2FbkAzYAAAAJ","CS","CS","CS","CS","CS","CS"
238,"2ftJYXMAAAAJ","CS","CS","CS","CS","CS","XD"
239,"2G1KglQAAAAJ","BIO","BIO","BIO","XD","XD","XD"
240,"2G5HJE0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
241,"2gggOEIAAAAJ","CS","CS","CS","CS","CS","CS"
242,"2hemeGMAAAAJ","CS","CS","CS","CS","CS","CS"
243,"2hg5lYIAAAAJ","CS","CS","CS","CS","CS","CS"
244,"2HR9-igAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
245,"2i7uayYAAAAJ","CS","CS","CS","CS","XD","XD"
246,"2iu5LzQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
247,"2i_mta4AAAAJ","CS","CS","CS","XD","XD","XD"
248,"2j4daMHxyBUC","BIO","BIO","BIO","BIO","BIO","XD"
249,"2JMaTKsAAAAJ","CS","CS","CS","CS","CS","CS"
250,"2jRpisYAAAAJ","CS","CS","CS","CS","CS","CS"
251,"2K2-QrMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
252,"2K2gtpsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
253,"2kkddh0AAAAJ","CS","CS","CS","CS","CS","CS"
254,"2Kqxn2MAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
255,"2KR-hMsAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
256,"2kXsgI4AAAAJ","CS","CS","CS","CS","CS","CS"
257,"2LAmkegAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
258,"2lbWNPAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
259,"2LnUVG4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
260,"2lpCLIYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
261,"2LQimEIAAAAJ","BIO","BIO","XD","XD","XD","XD"
262,"2M8BWDkAAAAJ","CS","CS","CS","CS","CS","CS"
263,"2mjUsP8AAAAJ","CS","CS","CS","CS","CS","CS"
264,"2mkaUvkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
265,"2nGk3QQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
266,"2Nz2U0kAAAAJ","CS","CS","CS","CS","CS","CS"
267,"2oclnIwAAAAJ","CS","CS","CS","CS","CS","CS"
268,"2OJOZTUAAAAJ","CS","CS","CS","CS","CS","CS"
269,"2oSSsLYAAAAJ","CS","CS","CS","CS","XD","XD"
270,"2ouPjOAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
271,"2oy3OXYAAAAJ","CS","CS","CS","CS","CS","CS"
272,"2pH8BZwAAAAJ","CS","CS","CS","CS","CS","CS"
273,"2pW1g5IAAAAJ","CS","CS","CS","CS","CS","CS"
274,"2PxFftgAAAAJ","CS","CS","CS","CS","CS","CS"
275,"2QdlYyMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
276,"2rg3W8gAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
277,"2rMImAgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
278,"2s9_ZWgAAAAJ","CS","CS","CS","CS","CS","CS"
279,"2SF6AXQAAAAJ","XD","XD","XD","XD","XD","XD"
280,"2SmbjHAAAAAJ","CS","CS","CS","CS","CS","CS"
281,"2SXzngsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
282,"2tT-FokAAAAJ","BIO","BIO","XD","XD","XD","XD"
283,"2U1xsKwAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
284,"2UF8gNsAAAAJ","CS","CS","CS","CS","CS","CS"
285,"2uHUSa8AAAAJ","CS","CS","CS","CS","CS","CS"
286,"2UjiMzIAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
287,"2upx1AcAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
288,"2VAwmhMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
289,"2vQRGrYAAAAJ","CS","CS","CS","CS","XD","XD"
290,"2vZ5zRQAAAAJ","CS","CS","CS","CS","CS","CS"
291,"2wJaIkEAAAAJ","CS","CS","CS","CS","CS","CS"
292,"2WJqadMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
293,"2X5Wru0AAAAJ","BIO","BIO","BIO","XD","XD","XD"
294,"2X6fAZgAAAAJ","CS","CS","CS","XD","XD","XD"
295,"2XJfT0UAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
296,"2YLKXzwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
297,"2ZHGNCUAAAAJ","CS","CS","CS","CS","CS","CS"
298,"2zsr0ukAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
299,"2_OASxMAAAAJ","BIO","BIO","BIO","XD","XD","XD"
300,"3-gk0ioAAAAJ","CS","CS","CS","CS","CS","CS"
301,"3-PRZG0AAAAJ","CS","CS","CS","CS","CS","CS"
302,"30fyS8EAAAAJ","CS","CS","CS","CS","CS","CS"
303,"33k5ZFwAAAAJ","BIO","BIO","BIO","XD","XD","XD"
304,"35uGc_MAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
305,"36HRdqMAAAAJ","CS","CS","CS","CS","CS","CS"
306,"37e-BIYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
307,"37frPb8AAAAJ","CS","CS","CS","CS","CS","CS"
308,"38ev4xkAAAAJ","CS","CS","CS","CS","CS","CS"
309,"398l2V8AAAAJ","BIO","BIO","BIO","BIO","XD","XD"
310,"39BgNN8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
311,"39GUJSgAAAAJ","CS","CS","CS","CS","CS","CS"
312,"3AoFLxwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
313,"3aw_314AAAAJ","CS","CS","CS","CS","CS","CS"
314,"3cwkINwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
315,"3DWI0HcAAAAJ","CS","CS","CS","CS","CS","CS"
316,"3Dw_GVEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
317,"3EbevY4AAAAJ","CS","CS","CS","CS","CS","CS"
318,"3fASLLsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
319,"3FrD14AAAAAJ","CS","CS","CS","CS","CS","CS"
320,"3FunQ3UAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
321,"3G79TTEAAAAJ","CS","CS","CS","CS","CS","XD"
322,"3Gvtz8gAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
323,"3H-3V9wAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
324,"3hqXvOEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
325,"3h_fp5QAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
326,"3ifikJ0AAAAJ","CS","CS","CS","CS","CS","XD"
327,"3IzCyzEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
328,"3JEciYcAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
329,"3JEfSz8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
330,"3KTaOl0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
331,"3lB8Y8kAAAAJ","CS","CS","CS","CS","CS","CS"
332,"3meGuI8AAAAJ","XD","XD","XD","XD","XD","XD"
333,"3OdbrfMAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
334,"3oyf5I4AAAAJ","CS","CS","CS","CS","CS","CS"
335,"3P2jfesAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
336,"3p3advkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
337,"3pZs3j0AAAAJ","CS","CS","CS","CS","CS","CS"
338,"3qPiYJoAAAAJ","CS","CS","CS","CS","XD","XD"
339,"3S5qpXsAAAAJ","CS","CS","CS","CS","CS","CS"
340,"3siz6_0AAAAJ","CS","CS","CS","CS","CS","CS"
341,"3Tj9toIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
342,"3TK9AHQAAAAJ","BIO","BIO","XD","XD","XD","XD"
343,"3Unsek4AAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
344,"3UyNayMAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
345,"3vKjkoQAAAAJ","CS","CS","CS","CS","CS","CS"
346,"3X9nW80AAAAJ","CS","CS","CS","CS","CS","CS"
347,"3xIRwTgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
348,"3XYmsKQAAAAJ","CS","CS","CS","CS","CS","CS"
349,"3yJxnHwAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
350,"3YOe4NMAAAAJ","CS","CS","CS","CS","CS","CS"
351,"3yPEc4YAAAAJ","CS","CS","CS","CS","CS","CS"
352,"3_rdKBsAAAAJ","CS","CS","CS","XD","XD","XD"
353,"3_WYcR4AAAAJ","CS","CS","CS","CS","XD","XD"
354,"41m5j04AAAAJ","CS","CS","CS","CS","CS","CS"
355,"41nF80QAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
356,"42fU-rsAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
357,"45d6BC0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
358,"45MH-gkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
359,"46HLWf8AAAAJ","CS","CS","CS","XD","XD","XD"
