"Faculty","XDIndicator","NumOfPolinator"
"-rcrelQAAAAJ",2,2
"-rcrelQAAAAJ",0,2
"-rcrelQAAAAJ",0,2
"-rcrelQAAAAJ",0,1
"-rcrelQAAAAJ",2,2
"-rcrelQAAAAJ",0,3
"-rcrelQAAAAJ",2,1
"zQvCCk0AAAAJ",0,3
"zQvCCk0AAAAJ",2,1
"zrKC-PcAAAAJ",0,3
"zrKC-PcAAAAJ",2,1
"-rcrelQAAAAJ",0,3
"-rcrelQAAAAJ",2,1
"-rcrelQAAAAJ",0,1
"-S8_yskAAAAJ",2,1
"-S8_yskAAAAJ",0,5
"-S8_yskAAAAJ",0,4
"-S8_yskAAAAJ",2,1
"-sGaL8sAAAAJ",1,1
"-sGaL8sAAAAJ",1,1
"-sGaL8sAAAAJ",1,2
"-sGaL8sAAAAJ",1,2
"-sGaL8sAAAAJ",2,1
"-SM7MpYAAAAJ",1,3
"-smZI6MAAAAJ",0,2
"-smZI6MAAAAJ",0,2
"-spRnaQAAAAJ",1,4
"-spRnaQAAAAJ",1,2
"-spRnaQAAAAJ",1,2
"-spRnaQAAAAJ",1,2
"-spRnaQAAAAJ",1,2
"-spRnaQAAAAJ",1,4
"-spRnaQAAAAJ",1,3
"-spRnaQAAAAJ",1,3
"-spRnaQAAAAJ",1,3
"-spRnaQAAAAJ",1,4
"-spRnaQAAAAJ",1,3
"-spRnaQAAAAJ",1,3
"qjxIcXQAAAAJ",0,6
"qjxIcXQAAAAJ",2,1
"-teHhxwAAAAJ",0,6
"-teHhxwAAAAJ",2,1
"-teHhxwAAAAJ",0,1
"-teHhxwAAAAJ",0,1
"-teHhxwAAAAJ",0,4
"qjxIcXQAAAAJ",0,6
"qjxIcXQAAAAJ",2,1
"-teHhxwAAAAJ",0,6
"-teHhxwAAAAJ",2,1
"-teHhxwAAAAJ",0,7
"-teHhxwAAAAJ",0,8
"-u5lh-0AAAAJ",0,1
"-UyfaYEAAAAJ",0,1
"-vC_l2kAAAAJ",1,4
"2kkddh0AAAAJ",1,1
"-vC_l2kAAAAJ",1,1
"-vC_l2kAAAAJ",1,2
"568MtVQAAAAJ",1,8
"-vC_l2kAAAAJ",1,8
"568MtVQAAAAJ",1,8
"-vC_l2kAAAAJ",1,8
"-vrMfNMAAAAJ",0,3
"-vrMfNMAAAAJ",2,4
"0NdRYeoAAAAJ",0,5
"0NdRYeoAAAAJ",2,5
"-vrMfNMAAAAJ",0,5
"-vrMfNMAAAAJ",2,5
"-wT1eCwAAAAJ",2,1
"5pKTRxEAAAAJ",1,1
"uSfaEgUAAAAJ",1,1
"-wT1eCwAAAAJ",1,1
"y2pH4jcAAAAJ",1,1
"-XCc1JQAAAAJ",0,6
"-xOxPsUAAAAJ",0,5
"-xOxPsUAAAAJ",0,1
"-xOxPsUAAAAJ",2,1
"-XpZ4fgAAAAJ",1,1
"-XpZ4fgAAAAJ",1,2
"d1KEK84AAAAJ",1,2
"Wov5tYoAAAAJ",1,3
"Wov5tYoAAAAJ",2,1
"-XpZ4fgAAAAJ",1,3
"-XpZ4fgAAAAJ",2,1
"MZKvGjYAAAAJ",1,1
"-XpZ4fgAAAAJ",1,1
"-XpZ4fgAAAAJ",1,4
"-XpZ4fgAAAAJ",1,2
"-XpZ4fgAAAAJ",2,2
"h0gtwxIAAAAJ",1,4
"-XpZ4fgAAAAJ",1,4
"MJ5G4xgAAAAJ",1,4
"-XpZ4fgAAAAJ",1,2
"-XpZ4fgAAAAJ",1,2
"P3JdmqAAAAAJ",1,5
"-XpZ4fgAAAAJ",1,5
"d1KEK84AAAAJ",1,5
"-XpZ4fgAAAAJ",1,3
"-XpZ4fgAAAAJ",1,3
"-XpZ4fgAAAAJ",1,4
"-XpZ4fgAAAAJ",1,2
"Wov5tYoAAAAJ",1,3
"-XpZ4fgAAAAJ",1,3
"-XXZGEoAAAAJ",0,5
"p4urLfMAAAAJ",2,1
"-XXZGEoAAAAJ",2,1
"-XXZGEoAAAAJ",0,1
"-XXZGEoAAAAJ",2,1
"-XXZGEoAAAAJ",0,5
"-XXZGEoAAAAJ",2,3
"-XXZGEoAAAAJ",0,5
"p4urLfMAAAAJ",0,2
"-XXZGEoAAAAJ",0,2
"-XXZGEoAAAAJ",0,5
"-XXZGEoAAAAJ",0,5
"p4urLfMAAAAJ",2,1
"-cwEbxUAAAAJ",2,1
"-XXZGEoAAAAJ",2,1
"p4urLfMAAAAJ",2,1
"-cwEbxUAAAAJ",2,1
"-XXZGEoAAAAJ",2,1
"p4urLfMAAAAJ",2,4
"-cwEbxUAAAAJ",2,4
"-XXZGEoAAAAJ",2,4
"-yrzguMAAAAJ",1,4
"-yrzguMAAAAJ",2,1
"-yrzguMAAAAJ",1,1
"-yrzguMAAAAJ",1,4
"-yrzguMAAAAJ",1,2
"-yrzguMAAAAJ",1,6
"-yrzguMAAAAJ",2,1
"-yrzguMAAAAJ",1,2
"COjq9XUAAAAJ",1,1
"-yrzguMAAAAJ",1,1
"-yrzguMAAAAJ",1,4
"-yrzguMAAAAJ",1,2
"qMOS01AAAAAJ",1,3
"qMOS01AAAAAJ",2,2
"-yrzguMAAAAJ",1,3
"-yrzguMAAAAJ",2,2
"-yrzguMAAAAJ",1,3
"-yrzguMAAAAJ",2,1
"COjq9XUAAAAJ",1,9
"COjq9XUAAAAJ",2,1
"-yrzguMAAAAJ",1,9
"-yrzguMAAAAJ",2,1
"-yrzguMAAAAJ",1,2
"-YvgZDEAAAAJ",1,4
"-_yz0eUAAAAJ",0,1
"-_yz0eUAAAAJ",0,7
"-_yz0eUAAAAJ",0,2
"-_yz0eUAAAAJ",0,2
"-_yz0eUAAAAJ",0,2
"0-hcsnoAAAAJ",0,5
"0-hcsnoAAAAJ",0,3
"_h642WsAAAAJ",1,1
"008lr2cAAAAJ",1,1
"Zc7YEbgAAAAJ",1,2
"008lr2cAAAAJ",1,2
"Zc7YEbgAAAAJ",1,6
"008lr2cAAAAJ",1,6
"008lr2cAAAAJ",1,2
"008lr2cAAAAJ",1,3
"008lr2cAAAAJ",1,2
"008lr2cAAAAJ",1,3
"008lr2cAAAAJ",1,1
"008lr2cAAAAJ",1,3
"008lr2cAAAAJ",1,2
"008lr2cAAAAJ",2,2
"008lr2cAAAAJ",1,1
"KltleWgAAAAJ",1,2
"008lr2cAAAAJ",1,2
"008lr2cAAAAJ",1,2
"00H10pgAAAAJ",0,7
"00H10pgAAAAJ",2,1
"00M1AqQAAAAJ",1,2
"00M1AqQAAAAJ",1,3
"xdGKgtcAAAAJ",1,4
"00M1AqQAAAAJ",1,4
"DpLFv4gAAAAJ",1,11
"DpLFv4gAAAAJ",2,4
"P3JdmqAAAAAJ",1,11
"P3JdmqAAAAAJ",2,4
"00M1AqQAAAAJ",1,11
"00M1AqQAAAAJ",2,4
"sh9-PrEAAAAJ",1,11
"sh9-PrEAAAAJ",2,4
"CeieiIgAAAAJ",1,11
"CeieiIgAAAAJ",2,4
"01EOkNEAAAAJ",0,1
"01EOkNEAAAAJ",0,1
"01EOkNEAAAAJ",0,11
"01EOkNEAAAAJ",2,3
"01EOkNEAAAAJ",0,3
"01EOkNEAAAAJ",2,1
"01EOkNEAAAAJ",0,2
"01EOkNEAAAAJ",0,3
"01U4ahgAAAAJ",0,3
"02nHF0gAAAAJ",1,5
"02nHF0gAAAAJ",1,2
"02nHF0gAAAAJ",1,2
"02nHF0gAAAAJ",1,2
"02nHF0gAAAAJ",1,3
"02nHF0gAAAAJ",2,1
"02nHF0gAAAAJ",1,3
"02nHF0gAAAAJ",1,1
"02_kT4YAAAAJ",1,1
"02_kT4YAAAAJ",2,1
"03uVItYAAAAJ",0,4
"03uVItYAAAAJ",0,2
"03uVItYAAAAJ",0,2
"wmWYM34AAAAJ",0,2
"03uVItYAAAAJ",0,1
"05UuCNQAAAAJ",0,1
"03uVItYAAAAJ",0,6
